ASSET_CODE,LSWorkType,JOB_CODE,Monthvalues,YearValues,LogSheetDayCount,IOTDayCount,IOTRunHr,LOGSheetRunHr,IOTUtilization,LogUtilization,BU_Description,IC_Description,Deviation,IOTWOrkDone,LogSheetWorkDone,Asset_Description,ExpectedLogSheetHr,ExpectedIOTHrs,Capacity,AssetGrp,UtilizationHrs_Considered,UtilizationPerc_Considered,UtilizationStatus,ProductivityPercent,Expected_FuelQuantity
1260626,W,C133,March,2025,0.0,31.0,132.74,0,65.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,01260626-IOCL-Barauni,0.0,201.0,,0126-EARTHMOVING,132.74,65.88,UnderUtilized,LFProductivityPercent,0.0
01261878,W,C134,March,2025,0.0,31.0,49.62,0,24.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,01261878-HRRL- Dual Feed Cracker Unit,0.0,201.0,,0126-EARTHMOVING,49.62,24.63,UnderUtilized,LFProductivityPercent,0.0
01261886,W,C121,March,2025,0.0,31.0,0.0,0,0.0,0.0,CS,Hydrocarbon,0.0,0.0,0.0,01261886-LSTK 1 - Paradip,0.0,201.0,,0126-EARTHMOVING,0.0,0.0,Acceptable,LFProductivityPercent,0.0
01261894,W,C120,March,2025,0.0,31.0,77.4,0,38.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,01261894-LSTK 2 - O&U - Paradip,0.0,201.0,,0126-EARTHMOVING,77.4,38.41,UnderUtilized,LFProductivityPercent,0.0
01310062,W,C123,March,2025,0.0,31.0,0.0,0,0.0,0.0,CS,Hydrocarbon,0.0,0.0,0.0,01310062-RUF - HPCL Vizag HE190004,0.0,201.0,,0131-EARTHMOVING,0.0,0.0,Acceptable,LFProductivityPercent,0.0
02680335,W,C134,March,2025,0.0,31.0,153.16,0,89.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,02680335-HRRL- Dual Feed Cracker Unit,0.0,171.0,15 T,0268-PICK-N-CARRY CRANE,153.16,89.25,UnderUtilized,LFProductivityPercent,0.0
02680343,W,C136,March,2025,0.0,31.0,2.73,0,1.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,02680343-MNPL Section1,0.0,171.0,15 T,0268-PICK-N-CARRY CRANE,2.73,1.59,UnderUtilized,LFProductivityPercent,0.0
02730111,W,C134,March,2025,0.0,31.0,83.94,0,48.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,02730111-HRRL- Dual Feed Cracker Unit,0.0,171.0,12 T,0273-PICK-N-CARRY CRANE,83.94,48.92,UnderUtilized,LFProductivityPercent,0.0
02730120,W,C133,March,2025,0.0,31.0,124.41,0,72.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,02730120-IOCL-Barauni,0.0,171.0,12 T,0273-PICK-N-CARRY CRANE,124.41,72.5,UnderUtilized,LFProductivityPercent,0.0
02740842,W,C132,March,2025,0.0,31.0,740.57,0,431.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,02740842-P&M Yard – Nasirabad,0.0,171.0,10 T,0274-PICK-N-CARRY CRANE,740.57,431.57,Acceptable,LFProductivityPercent,0.0
02740907,W,C123,March,2025,0.0,31.0,75.8,0,44.0,0.0,CS,Hydrocarbon,100.0,0.0,0.0,02740907-RUF - HPCL Vizag HE190004,0.0,171.0,10 T,0274-PICK-N-CARRY CRANE,75.8,44.17,UnderUtilized,LFProductivityPercent,0.0
